Genre,BeatsPerMinute(Tempo),Chroma STFT 1,Chroma STFT 2,Chroma STFT 3,Chroma STFT 4,Chroma STFT 5,Chroma STFT 6,Chroma STFT 7,Chroma STFT 8,Chroma STFT 9,Chroma STFT 10,Chroma STFT 11,Chroma STFT 12,MFCC 1,MFCC 2,MFCC 3,MFCC 4,MFCC 5,MFCC 6,MFCC 7,MFCC 8,MFCC 9,MFCC 10,MFCC 11,MFCC 12,MFCC 13,MFCC 14,MFCC 15,MFCC 16,MFCC 17,MFCC 18,MFCC 19,MFCC 20,RootMeanSquare,SpectralCentroid,SpectralRolloff,ZeroCrossingRate Sum
Alt Rock,112.34714673913044,0.13784146308898926,0.2491157203912735,0.06555471569299698,0.1989879310131073,1.0,0.4139389395713806,0.10738161206245422,0.09619703143835068,0.2701706886291504,0.10648197680711746,0.14314763247966766,0.2695498764514923,-259.2394714355469,97.514892578125,-29.269973754882812,-14.496889114379883,-22.256181716918945,-13.395700454711914,3.7190213203430176,17.868133544921875,14.312501907348633,21.88402557373047,-3.511521816253662,1.9009801149368286,9.592910766601562,13.222139358520508,-10.60759449005127,-13.660764694213867,-6.9760332107543945,-2.5257415771484375,-4.876522064208984,4.787714004516602,0.011747425108276916,2180.8958024722583,4145.1416015625,124035
Alt Rock,112.34714673913044,0.38543155789375305,0.12640736997127533,0.09478750079870224,0.28819164633750916,0.5988231301307678,0.4177691340446472,0.13273341953754425,0.09071624279022217,0.31035861372947693,0.14905071258544922,0.42510557174682617,1.0,-161.85247802734375,110.02819061279297,-58.70515060424805,-8.553284645080566,-32.90967559814453,-4.160947322845459,-3.41678524017334,18.198488235473633,13.103334426879883,16.215675354003906,-4.387279510498047,-1.0950368642807007,7.546974182128906,14.319580078125,-10.56883716583252,-10.120699882507324,-3.9396657943725586,-5.485790252685547,-14.177154541015625,7.487596035003662,0.03783755432465424,1930.380749011736,3316.11328125,124035
Alt Rock,112.34714673913044,0.2233409881591797,0.048545267432928085,0.0711769312620163,0.3988807201385498,1.0,0.3645009398460388,0.07750522345304489,0.08344733715057373,0.365927517414093,0.11789946258068085,0.2545369565486908,0.9313818216323853,-128.9696044921875,120.33401489257812,-67.53074645996094,-0.3797335624694824,-41.66912078857422,-5.224879264831543,-7.163088321685791,17.44312286376953,16.03798484802246,15.738651275634766,-1.8802571296691895,2.1833600997924805,5.8398237228393555,12.361299514770508,-9.033616065979004,-15.031951904296875,1.167731523513794,0.49574220180511475,-13.192036628723145,5.072819709777832,0.07822752721910343,1769.6678333217117,3003.8818359375,124035
Alt Rock,112.34714673913044,0.11470627784729004,0.01709960773587227,0.021176861599087715,0.2385573387145996,1.0,0.18439295887947083,0.027312418445944786,0.05316204950213432,0.31251370906829834,0.06693156808614731,0.12475959956645966,0.6912611126899719,-173.39065551757812,125.17593383789062,-59.743873596191406,3.852951765060425,-39.71054458618164,-7.727900505065918,-3.933424472808838,18.280548095703125,22.629802703857422,13.265518188476562,-2.8952786922454834,6.356738090515137,6.609071254730225,15.839729309082031,-5.2091875076293945,-18.596054077148438,8.564080238342285,3.331003427505493,-11.824420928955078,-3.734750509262085,0.07488063512590591,1655.8287705466319,2971.58203125,124035
Alt Rock,112.34714673913044,0.05274941027164459,0.011157295666635036,0.004268587101250887,0.1912606805562973,1.0,0.14559993147850037,0.01005424652248621,0.03096379153430462,0.20395620167255402,0.03767138347029686,0.051230289041996,0.33482396602630615,-232.5076141357422,112.97613525390625,-50.62242889404297,4.1686553955078125,-32.69071960449219,-5.910059452056885,-7.566459655761719,19.119686126708984,26.686384201049805,13.61439323425293,3.7608494758605957,3.0602498054504395,3.0881731510162354,17.325672149658203,-3.0109972953796387,-14.926519393920898,8.276205062866211,-2.259507894515991,-9.838987350463867,-3.084146022796631,0.05783194387326891,1599.4437155992237,2659.3505859375,124035
Alt Rock,112.34714673913044,0.013346580788493156,0.007982192561030388,0.0034176066983491182,0.19319835305213928,1.0,0.14681309461593628,0.014630233868956566,0.01591813936829567,0.08473572880029678,0.015304851345717907,0.01440480537712574,0.0810038149356842,-252.82763671875,103.51460266113281,-47.93038558959961,4.945500373840332,-35.798431396484375,-8.932963371276855,-4.331254959106445,17.205432891845703,24.913719177246094,15.86398696899414,10.11858081817627,8.904571533203125,4.762760639190674,19.90097427368164,-5.52271842956543,-19.49362564086914,10.497457504272461,-1.7878923416137695,-10.732977867126465,-10.724821090698242,0.050522491165289236,1624.3485474675754,2982.3486328125,124035
Alt Rock,112.34714673913044,0.012096487917006016,0.005877593997865915,0.0030360030941665173,0.19179101288318634,1.0,0.15242697298526764,0.022754758596420288,0.011336627416312695,0.043280865997076035,0.010014379397034645,0.013150623068213463,0.0743739902973175,-263.8633117675781,98.24142456054688,-50.10870361328125,5.579530715942383,-29.081600189208984,-10.04585075378418,-3.9549591541290283,14.464365005493164,19.616893768310547,19.239452362060547,7.042576789855957,10.134483337402344,7.329837799072266,15.549601554870605,-5.006102561950684,-23.30547332763672,8.588265419006348,-0.8274236917495728,-8.17293930053711,-8.726125717163086,0.04781309352612329,1682.167176342346,2993.115234375,124035
Alt Rock,112.34714673913044,0.01852158084511757,0.0063809980638325214,0.0025128405541181564,0.1666409820318222,1.0,0.1742144674062729,0.021713346242904663,0.009420642629265785,0.04285300150513649,0.011430400423705578,0.015704011544585228,0.1055663600564003,-274.5813903808594,95.34500122070312,-55.259422302246094,1.8826621770858765,-23.638851165771484,-12.744461059570312,-4.252392768859863,15.14246940612793,16.15042495727539,17.07526397705078,3.8072876930236816,6.801567077636719,3.501063346862793,9.17801284790039,-4.265259742736816,-28.247255325317383,0.38971972465515137,-3.196709394454956,-5.189919471740723,3.171854257583618,0.043312625770606426,1693.588331425225,2982.3486328125,124035
Alt Rock,112.34714673913044,0.02938491478562355,0.008775634691119194,0.0030326175037771463,0.176848366856575,1.0,0.16908098757266998,0.017134366557002068,0.009827663190662861,0.052422355860471725,0.012544305063784122,0.024156253784894943,0.1695515364408493,-285.81317138671875,100.63330841064453,-55.88426971435547,-3.3792054653167725,-19.866971969604492,-14.825758934020996,1.7469736337661743,19.482816696166992,22.473194122314453,19.552841186523438,3.169379472732544,6.398691177368164,1.7748254537582397,9.146129608154297,-6.048923492431641,-31.902761459350586,-2.841552734375,-5.104689598083496,-4.868503093719482,10.020668029785156,0.03697436172342366,1645.0915916462498,2982.3486328125,124035
Alt Rock,112.34714673913044,0.04719075188040733,0.012117203325033188,0.004187635146081448,0.18905538320541382,1.0,0.1472577452659607,0.011208823882043362,0.010580864734947681,0.06031453609466553,0.0144517095759511,0.04735710099339485,0.2954122722148895,-291.60302734375,105.84663391113281,-48.56953811645508,-3.2103962898254395,-21.952726364135742,-10.22418212890625,11.996818542480469,26.820985794067383,23.053569793701172,16.87183952331543,9.405834197998047,5.122546195983887,10.401922225952148,15.330883026123047,-6.244123935699463,-21.693584442138672,0.2627209424972534,-0.13412725925445557,-4.303326606750488,5.36865758895874,0.029543358339466867,1589.114864536794,2960.8154296875,124035
Alt Rock,112.34714673913044,0.050327856093645096,0.012935948558151722,0.005829611327499151,0.20387043058872223,1.0,0.14719288051128387,0.026260174810886383,0.019121667370200157,0.07928843796253204,0.0203564316034317,0.05653954669833183,0.33072105050086975,-291.5379638671875,114.33308410644531,-49.815399169921875,-6.450465202331543,-20.726531982421875,-15.069530487060547,14.469139099121094,28.18903350830078,21.576229095458984,17.98874282836914,15.430643081665039,0.9150242805480957,9.64734172821045,15.228825569152832,-7.4029541015625,-13.465461730957031,1.1796212196350098,3.852787494659424,-8.628240585327148,-0.7389588356018066,0.0261409099058705,1597.817747271794,2971.58203125,124035
Alt Rock,112.34714673913044,0.06108986586332321,0.019318824633955956,0.05444536730647087,0.3694097697734833,0.8817541003227234,0.19013383984565735,0.08027539402246475,0.2531869113445282,1.0,0.35099852085113525,0.0904337465763092,0.2174585461616516,-205.91787719726562,121.29081726074219,-45.82645034790039,-2.314408779144287,-30.37179183959961,-22.903106689453125,-5.06171178817749,17.25792121887207,25.353355407714844,20.939950942993164,4.7425336837768555,-4.323480129241943,-5.604733467102051,15.879083633422852,-8.704056739807129,-14.607531547546387,1.3984253406524658,9.115762710571289,-7.150734901428223,-1.6268904209136963,0.03373474809341787,1708.5438872854222,2993.115234375,124035
Alt Rock,112.34714673913044,0.030978282913565636,0.010675923898816109,0.050422877073287964,0.4194931089878082,1.0,0.2255817949771881,0.021560585126280785,0.1407645344734192,0.775743305683136,0.18430598080158234,0.03142896667122841,0.10087863355875015,-164.3324432373047,128.79898071289062,-49.33348083496094,6.1091203689575195,-39.695518493652344,-18.466764450073242,-14.543731689453125,9.441625595092773,23.151573181152344,22.808544158935547,2.2735180854797363,3.3677587509155273,-5.66664457321167,9.935988426208496,-10.472869873046875,-19.94264030456543,0.2829129695892334,9.42807388305664,-6.691838264465332,-7.734592437744141,0.0710965359058118,1555.6218180132432,2648.583984375,124035
Alt Rock,112.34714673913044,0.014981260523200035,0.004313877783715725,0.016801195219159126,0.2341792732477188,1.0,0.17742446064949036,0.004523920826613903,0.054939720779657364,0.37706536054611206,0.0715075135231018,0.012074343860149384,0.06809667497873306,-193.81715393066406,131.3670196533203,-48.3861083984375,9.05456256866455,-39.53099822998047,-8.020783424377441,-14.261878967285156,3.7985801696777344,23.013071060180664,17.6643009185791,4.341119289398193,8.708135604858398,-0.29337799549102783,6.254494667053223,-6.849632263183594,-21.4205265045166,-1.867908239364624,8.556662559509277,-4.777688026428223,-11.367332458496094,0.07410292622664197,1493.1986189103568,2616.2841796875,124035
Alt Rock,112.34714673913044,0.009116415865719318,0.0023688350338488817,0.00303869741037488,0.15358112752437592,1.0,0.18809424340724945,0.001861424883827567,0.030257372185587883,0.17436906695365906,0.028920132666826248,0.005865397397428751,0.03880763426423073,-235.26123046875,120.10347747802734,-43.73765563964844,7.898291110992432,-33.59821319580078,-7.477197647094727,-12.536563873291016,6.382299423217773,20.903034210205078,15.263406753540039,8.806304931640625,6.750130653381348,-1.3363423347473145,4.9391374588012695,1.160832405090332,-17.674583435058594,-0.2604445815086365,9.79643440246582,-2.9451656341552734,-9.57735824584961,0.062745064606153,1526.106288220528,2648.583984375,124035
Alt Rock,112.34714673913044,0.006823826115578413,0.001764165353961289,0.00217390526086092,0.15301628410816193,1.0,0.1908654421567917,0.0014855482149869204,0.020697476342320442,0.1253974884748459,0.020568491891026497,0.004762140102684498,0.029804246500134468,-252.637451171875,113.27011108398438,-47.59008026123047,1.039632797241211,-33.855804443359375,-7.543877601623535,-11.564424514770508,6.9083685874938965,21.983692169189453,13.469830513000488,6.834636688232422,5.25555419921875,-1.9319607019424438,2.718644380569458,3.7064297199249268,-18.26051139831543,-4.082569122314453,8.258169174194336,0.8430180549621582,-4.7627177238464355,0.06045533767076091,1540.5665093166854,2637.8173828125,124035
Alt Rock,112.34714673913044,0.005702704191207886,0.001779309124685824,0.0021798540838062763,0.15159167349338531,1.0,0.1904193013906479,0.0015053447568789124,0.01793796382844448,0.1168818399310112,0.020457573235034943,0.0037633057218044996,0.024270925670862198,-262.38690185546875,110.7254638671875,-42.51228332519531,2.639418601989746,-36.32138442993164,-8.053145408630371,-12.947872161865234,5.078803539276123,25.34206771850586,11.360642433166504,9.04925537109375,7.247312545776367,-1.7155530452728271,4.280516147613525,-0.26809144020080566,-17.16364288330078,-2.524930953979492,3.454660415649414,-1.2056705951690674,-3.3475475311279297,0.05319990100348891,1559.6391976774792,2648.583984375,124035
Alt Rock,112.34714673913044,0.008453362621366978,0.004740492440760136,0.010693474672734737,0.20574402809143066,1.0,0.15432536602020264,0.0030504565220326185,0.01358682382851839,0.09743320941925049,0.020105456933379173,0.006343036890029907,0.031355660408735275,-211.31642150878906,101.27191925048828,-62.302391052246094,-7.861834526062012,-31.177261352539062,-2.5723190307617188,-1.9281980991363525,4.244788646697998,6.2604660987854,5.916050910949707,12.676935195922852,18.020492553710938,-6.229098796844482,1.0376615524291992,-5.18422794342041,-11.241655349731445,-9.003301620483398,9.03732681274414,-0.5523927211761475,-12.942346572875977,0.04797182006905478,1865.0934081948812,3380.712890625,124035
Alt Rock,112.34714673913044,0.032671019434928894,0.022428125143051147,0.05284065008163452,0.22083613276481628,1.0,0.18028321862220764,0.01198959443718195,0.011332946829497814,0.05137569457292557,0.017994798719882965,0.03420908749103546,0.10686037689447403,-135.00999450683594,84.58261108398438,-71.90003204345703,-13.66580581665039,-28.651721954345703,-1.371916651725769,-3.8200130462646484,5.910428524017334,-5.660300254821777,-3.163769483566284,6.376591205596924,19.068069458007812,-1.16579008102417,4.778130531311035,-3.2720935344696045,-2.646481513977051,-2.94638729095459,11.885462760925293,-5.157222747802734,-12.054906845092773,0.059751664507098436,2255.3643082141675,4037.4755859375,124035
Alt Rock,112.34714673913044,0.020955124869942665,0.011640561744570732,0.025213271379470825,0.18765738606452942,1.0,0.16271959245204926,0.006617841310799122,0.006467411760240793,0.030103472992777824,0.01228854339569807,0.030025828629732132,0.07584507018327713,-138.1836700439453,93.07518005371094,-65.73127746582031,-8.549722671508789,-25.85834312438965,2.674515724182129,-2.0193912982940674,6.105614185333252,-6.4781599044799805,-1.849538803100586,3.797302722930908,18.275611877441406,-0.8408445119857788,3.2949037551879883,-4.116799354553223,-0.4080854654312134,-0.33148545026779175,12.669351577758789,-7.10477352142334,-14.560199737548828,0.0654819443535353,2207.7359552813355,4026.708984375,124035
Alt Rock,112.34714673913044,0.009320092387497425,0.002118858275935054,0.0055533526465296745,0.19297662377357483,1.0,0.13567043840885162,0.0025352826341986656,0.00576647138223052,0.042322829365730286,0.010731370188295841,0.00893451739102602,0.03045998141169548,-201.79400634765625,109.66151428222656,-51.723350524902344,-0.7049840688705444,-21.311262130737305,6.776283264160156,-3.7993826866149902,-1.216761589050293,-2.3258509635925293,5.681456565856934,8.487971305847168,15.643051147460938,-6.036358833312988,-1.6881074905395508,-5.007894992828369,-0.9903409481048584,-1.2744901180267334,12.441956520080566,-7.1370344161987305,-16.81887435913086,0.05334780572869036,1999.5483160412068,3994.4091796875,124035
Alt Rock,112.34714673913044,0.013953132554888725,0.0016395619604736567,0.004684435669332743,0.1910720318555832,1.0,0.15056076645851135,0.0021483125165104866,0.009096269495785236,0.06997386366128922,0.014642180874943733,0.005709543824195862,0.039558373391628265,-234.64744567871094,102.05984497070312,-50.13348388671875,-0.08157837390899658,-22.841367721557617,1.9856717586517334,-1.3534746170043945,-1.1409107446670532,1.0076014995574951,9.58193302154541,13.149652481079102,17.83875846862793,-7.877082347869873,-4.7228498458862305,-4.188657760620117,-3.3886375427246094,-4.689496994018555,16.193269729614258,-8.588541030883789,-19.378559112548828,0.04441927846930607,2078.3209662388927,4026.708984375,124035
Alt Rock,112.34714673913044,0.007552489638328552,0.0010644078720360994,0.0026601888239383698,0.17359468340873718,1.0,0.1542292982339859,0.0013039932819083333,0.008193528279662132,0.05762710049748421,0.010874945670366287,0.0036363231483846903,0.02362705022096634,-247.6407470703125,101.18840026855469,-48.30418395996094,2.0101304054260254,-24.308055877685547,-2.1005208492279053,-2.71852970123291,0.5481321811676025,1.4250366687774658,12.27193832397461,18.4285888671875,19.01961898803711,-4.236952781677246,-4.479699611663818,-5.9583821296691895,-1.7829082012176514,-2.0419023036956787,18.715885162353516,-14.357819557189941,-24.683977127075195,0.04603116142344709,1928.5575796449552,3886.7431640625,124035
Alt Rock,112.34714673913044,0.0062935929745435715,0.0006070120725780725,0.002464870922267437,0.1702812761068344,1.0,0.15015050768852234,0.0012912452220916748,0.008802663534879684,0.060773417353630066,0.011433321982622147,0.0034887543879449368,0.022216448560357094,-255.38633728027344,97.37177276611328,-51.178680419921875,0.8750382661819458,-24.595006942749023,-1.6890772581100464,1.7118245363235474,6.774041175842285,-0.3936125338077545,14.754951477050781,24.185558319091797,20.27886962890625,-1.5659528970718384,-4.005500793457031,-8.079358100891113,-0.7284860610961914,-0.15094488859176636,18.843332290649414,-15.458465576171875,-24.16895294189453,0.04563507909767116,1858.0792880964927,3337.646484375,124035
Alt Rock,112.34714673913044,0.009020648896694183,0.0009446243639104068,0.0034008033107966185,0.17436103522777557,1.0,0.16045066714286804,0.002042606472969055,0.012416494078934193,0.07019935548305511,0.012387000024318695,0.005662368610501289,0.03337986022233963,-256.4970703125,103.79571533203125,-53.375205993652344,-1.732706069946289,-19.879650115966797,0.33218950033187866,3.832016944885254,4.3513383865356445,6.904607772827148,17.660030364990234,23.135549545288086,26.70159912109375,-2.45477294921875,-5.6988983154296875,-7.378734588623047,-2.834474802017212,2.0168182849884033,19.996482849121094,-13.272624969482422,-19.95087432861328,0.04122982264752942,1801.3924322163389,3208.447265625,124035
Alt Rock,112.34714673913044,0.00856403261423111,0.0008510452462360263,0.0019716350361704826,0.15612779557704926,1.0,0.1673623025417328,0.0016456356970593333,0.004780746530741453,0.021046454086899757,0.004258782137185335,0.004968492314219475,0.032164040952920914,-265.22235107421875,104.34617614746094,-52.20692825317383,-1.7113171815872192,-15.418193817138672,1.6459263563156128,4.640017032623291,1.5656437873840332,10.257098197937012,20.216007232666016,21.71154022216797,29.470203399658203,-1.2519394159317017,-10.608358383178711,-13.587898254394531,-6.730339050292969,-0.4125173091888428,13.26456356048584,-18.382400512695312,-19.39322280883789,0.045588399890859485,1791.4859413404988,3251.513671875,124035
Alt Rock,112.34714673913044,0.004031616263091564,0.000535377417691052,0.0013334602117538452,0.16899344325065613,1.0,0.13434018194675446,0.0007529284921474755,0.002002779860049486,0.01306377723813057,0.0031388048082590103,0.0023701321333646774,0.017557140439748764,-267.3345642089844,102.1838150024414,-53.79466247558594,-4.9677019119262695,-16.906421661376953,9.404873847961426,10.037585258483887,7.9440717697143555,8.653611183166504,15.666586875915527,22.944686889648438,28.335678100585938,-1.6438982486724854,-14.497666358947754,-11.960210800170898,-3.5070977210998535,2.9934120178222656,13.940601348876953,-14.818687438964844,-21.177513122558594,0.06337447026015358,1728.3455412902242,2648.583984375,124035
Alt Rock,112.34714673913044,0.003125971183180809,0.0004810769751202315,0.0012982710031792521,0.17959710955619812,1.0,0.123077891767025,0.0006151326233521104,0.0027294086758047342,0.01992628164589405,0.0044340030290186405,0.0021207474637776613,0.013954452238976955,-264.34130859375,98.65961456298828,-51.415283203125,-10.593896865844727,-14.667855262756348,9.644880294799805,14.685677528381348,12.786023139953613,7.048945426940918,18.04659652709961,20.3988094329834,25.025676727294922,-2.925481081008911,-13.771388053894043,-3.8342881202697754,-0.4118086099624634,8.977285385131836,16.142398834228516,-7.9325385093688965,-20.135787963867188,0.06412265326014956,1769.3502058104261,2648.583984375,124035
Alt Rock,112.34714673913044,0.004218223039060831,0.001488279434852302,0.0023334419820457697,0.2053123265504837,1.0,0.10969344526529312,0.0007966955890879035,0.004589746706187725,0.029880866408348083,0.006341187283396721,0.002673512324690819,0.014403901994228363,-259.426025390625,95.63345336914062,-43.95264434814453,-12.634564399719238,-9.292550086975098,8.708284378051758,13.016714096069336,12.815374374389648,5.47298526763916,15.957277297973633,14.019733428955078,22.415498733520508,0.5600558519363403,-13.399839401245117,-5.218128204345703,-2.829181671142578,9.506516456604004,15.609611511230469,-8.562771797180176,-22.427141189575195,0.04416424864973189,1948.4531819138583,3337.646484375,124035
Alt Rock,112.34714673913044,0.1506689488887787,0.45439547300338745,0.15825283527374268,0.2772887349128723,1.0,0.2554170489311218,0.03733616694808006,0.09598757326602936,0.2568110525608063,0.08147411793470383,0.03545675426721573,0.06596214324235916,-159.38095092773438,114.44973754882812,-72.1513671875,-15.883567810058594,-33.58568572998047,-0.7774412631988525,-4.30853271484375,8.995763778686523,1.4289034605026245,8.373673439025879,4.538288593292236,17.985393524169922,7.180525779724121,-7.850016117095947,-15.591943740844727,-8.716964721679688,-4.187829971313477,9.118997573852539,-5.811731338500977,2.1607446670532227,0.04543558301007157,1808.8168354880336,3176.1474609375,124035
Alt Rock,112.34714673913044,0.22168293595314026,1.0,0.22009587287902832,0.1486186981201172,0.5242215991020203,0.1607612520456314,0.021832292899489403,0.0761013925075531,0.25739800930023193,0.06332691758871078,0.018641961738467216,0.04050324484705925,-116.13239288330078,121.27949523925781,-76.94667053222656,-11.969976425170898,-40.55596160888672,-1.0651607513427734,-8.641695976257324,9.664505004882812,3.3660693168640137,5.110366344451904,1.023379921913147,17.576963424682617,6.641242980957031,-5.411428451538086,-19.19144058227539,-11.28115463256836,-6.408697128295898,3.342352867126465,-3.044637680053711,10.985767364501953,0.0925838189044014,1695.9148751603384,2971.58203125,124035
Alt Rock,112.34714673913044,0.16739878058433533,1.0,0.16086509823799133,0.07436176389455795,0.37110111117362976,0.06714093685150146,0.0044183628633618355,0.027810728177428246,0.15867333114147186,0.03462773188948631,0.006167917978018522,0.013335661962628365,-155.136474609375,124.07823944091797,-66.97004699707031,-6.778850555419922,-38.16975402832031,-0.5033304691314697,-5.424982070922852,11.587150573730469,9.74092960357666,-1.8789118528366089,-0.5400071144104004,19.98224639892578,4.602421760559082,-3.655871868133545,-14.643026351928711,-10.179404258728027,-5.443260192871094,1.767466425895691,1.0992562770843506,9.745746612548828,0.09062611418894159,1622.18943139869,2637.8173828125,124035
Alt Rock,112.34714673913044,0.15626217424869537,1.0,0.1405579298734665,0.07419915497303009,0.4158385396003723,0.06274743378162384,0.0009168179240077734,0.017489921301603317,0.12293856590986252,0.023156143724918365,0.0021281917579472065,0.006371550261974335,-221.12863159179688,112.51231384277344,-50.538963317871094,0.8247154355049133,-32.34787368774414,12.585966110229492,-1.3812354803085327,11.782331466674805,19.04592514038086,-9.327126502990723,4.790477752685547,22.041423797607422,1.6482489109039307,0.9725931882858276,-10.773427963256836,-11.244632720947266,-4.3898115158081055,9.926956176757812,4.552857398986816,3.1558797359466553,0.07171051651311279,1548.5763338592988,2433.251953125,124035
Alt Rock,112.34714673913044,0.15671589970588684,1.0,0.1443881392478943,0.09787264466285706,0.5014525651931763,0.07434104382991791,0.0007709313649684191,0.01008028443902731,0.07404335588216782,0.014217812567949295,0.0015119072049856186,0.007492654491215944,-244.9398193359375,105.56523132324219,-50.30001449584961,1.207709789276123,-36.70649337768555,8.709095001220703,5.08184814453125,12.55611515045166,19.04507064819336,-10.950323104858398,7.672533988952637,28.719186782836914,4.77276611328125,3.0715491771698,-4.837070941925049,-14.14854621887207,-13.981176376342773,6.727221488952637,1.8261995315551758,2.206660032272339,0.06193201131311839,1561.7053354762302,2540.91796875,124035
Alt Rock,112.34714673913044,0.14696046710014343,1.0,0.17005546391010284,0.18954244256019592,0.9245681762695312,0.13638710975646973,0.001387250260449946,0.009953215718269348,0.08194704353809357,0.017583534121513367,0.0027853562496602535,0.011335698887705803,-249.83004760742188,108.98606872558594,-54.2017707824707,-2.4755706787109375,-30.68801498413086,9.150556564331055,7.848286151885986,14.572113037109375,15.596723556518555,-8.547821044921875,10.795537948608398,26.851722717285156,2.6654481887817383,-3.5042433738708496,-6.478518009185791,-20.20834732055664,-19.290342330932617,7.319364547729492,3.005803346633911,-0.9107023477554321,0.05024554739077261,1558.5578105418854,2530.1513671875,124035
Alt Rock,112.34714673913044,0.03277929872274399,0.20841121673583984,0.042003802955150604,0.17054994404315948,1.0,0.17203769087791443,0.001578557537868619,0.009669079445302486,0.09009143710136414,0.021987007930874825,0.0021090619266033173,0.01049015298485756,-257.266357421875,104.41481018066406,-63.10670471191406,-6.048514366149902,-24.605724334716797,7.843322277069092,7.546879768371582,10.041337966918945,15.381893157958984,-5.782015800476074,13.086943626403809,30.10955047607422,-3.529451608657837,-2.8546016216278076,-7.720944881439209,-22.101299285888672,-12.798009872436523,6.979762077331543,1.729307770729065,-2.076626777648926,0.03808932258772467,1677.2602734157474,2648.583984375,124035
