,Genre,BeatsPerMinute(Tempo),Chroma STFT 1,Chroma STFT 2,Chroma STFT 3,Chroma STFT 4,Chroma STFT 5,Chroma STFT 6,Chroma STFT 7,Chroma STFT 8,Chroma STFT 9,Chroma STFT 10,Chroma STFT 11,Chroma STFT 12,MFCC 1,MFCC 2,MFCC 3,MFCC 4,MFCC 5,MFCC 6,MFCC 7,MFCC 8,MFCC 9,MFCC 10,MFCC 11,MFCC 12,MFCC 13,MFCC 14,MFCC 15,MFCC 16,MFCC 17,MFCC 18,MFCC 19,MFCC 20,RootMeanSquare,SpectralCentroid,SpectralRolloff,ZeroCrossingRate Sum
0,Kpop,135.99917763157896,0.523426353931427,0.4817287921905517,0.5792219042778015,0.7189767956733704,0.7806899547576904,1.0,0.9941056966781616,0.7451980710029602,0.5995784401893616,0.6317621469497681,0.5739989280700684,0.5611571669578552,-493.3492736816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.039193991710518e-12,4624.66593232114,9119.3115234375,107860
1,Kpop,135.99917763157896,1.0,0.9965132474899292,0.7646347284317017,0.5305635929107666,0.3614861965179443,0.2925778329372406,0.3170909583568573,0.2646274268627167,0.2994654476642608,0.3849922120571136,0.461400032043457,0.6900888681411743,-493.3492736816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3941306672737823e-05,3132.881272544226,7192.08984375,107860
2,Kpop,135.99917763157896,1.0,0.5924071669578552,0.258475512266159,0.1773077249526977,0.1364141106605529,0.2364218980073928,0.2306677252054214,0.1507024019956588,0.1747085750102996,0.1844297498464584,0.2366303354501724,0.5552358031272888,-491.2024230957031,2.873276472091675,2.4108285903930664,1.721650004386902,0.9108231067657472,0.0948942899703979,-0.6205152273178101,-1.1598107814788818,-1.489260196685791,-1.6191704273223877,-1.5962941646575928,-1.4885330200195312,-1.3657174110412598,-1.2811262607574463,-1.2580535411834717,-1.2846016883850098,-1.317760705947876,-1.295833706855774,-1.155982255935669,-0.8528627157211304,0.0001413800940386,3135.076157082924,6589.16015625,107860
3,Kpop,135.99917763157896,0.8381158709526062,0.3081497848033905,0.2004362195730209,0.1707480251789093,0.2171079367399215,0.3293361365795135,0.2781035900115967,0.2277510315179824,0.2206283658742904,0.1736642867326736,0.3259950280189514,1.0,-473.0362243652344,17.258344650268555,5.668323516845703,8.477621078491211,3.4955897331237797,-8.386237144470215,-8.308855056762695,-5.577890396118164,-9.339454650878906,-8.842911720275879,-5.539106845855713,-6.488749027252197,-4.796462059020996,-0.3302408456802368,-0.5072808265686035,-1.2165288925170898,0.1411196589469909,-1.7428982257843018,-3.8371968269348153,-2.546498537063598,0.0004929271401523,3197.4317261641463,6481.494140625,107860
4,Kpop,135.99917763157896,0.5488554239273071,0.1663901805877685,0.2016551345586776,0.1756422668695449,0.2174890488386154,0.210338681936264,0.2020257115364074,0.1755236387252807,0.1605398505926132,0.1721310466527938,0.287618488073349,1.0,-453.7570190429688,22.3754997253418,-2.6449127197265625,15.783723831176758,2.0882644653320312,-21.32920455932617,-7.31163740158081,-2.5912327766418457,-13.941866874694824,-7.672552108764648,-2.777519702911377,-7.899470329284668,-5.357643127441406,-1.1810929775238037,-0.6480979919433594,-1.9226585626602173,-5.4893798828125,-2.973564863204956,0.0544197410345077,-5.742045402526856,0.0008107831039851,3402.469009173749,6815.2587890625,107860
5,Kpop,135.99917763157896,0.626816987991333,0.2276110500097274,0.2855935394763946,0.257373571395874,0.2266443520784378,0.2198422253131866,0.4819062352180481,0.54404217004776,0.1803844571113586,0.2467402219772339,0.2239458858966827,1.0,-443.7398376464844,25.525131225585938,-8.317007064819336,14.08944034576416,-2.862596035003662,-27.04244613647461,-2.4360525608062744,6.303013324737549,-11.137277603149414,-8.360843658447266,-2.368575096130371,-8.310629844665527,-8.640698432922363,-4.865093231201172,-1.5425679683685305,-2.2105712890625,-10.00466537475586,-6.141845703125,3.3661041259765625,-5.380544662475586,0.0010774404394093,3253.770611940274,6244.62890625,107860
6,Kpop,135.99917763157896,1.0,0.7642025947570801,0.642690122127533,0.296621710062027,0.1208995431661605,0.0859766155481338,0.2373166978359222,0.9687849283218384,0.7111013531684875,0.2679816484451294,0.2627919316291809,0.2060685008764267,-337.3078918457031,57.86247253417969,-45.67464447021485,11.33787727355957,-10.59779453277588,-30.256975173950195,-5.733442783355713,2.2533700466156006,1.5555834770202637,-10.59046459197998,-18.762035369873047,-11.70370864868164,-5.17996883392334,-10.014901161193848,-5.155120849609375,1.002774000167847,-9.164837837219238,-4.654358386993408,13.768141746520996,-3.2082033157348637,0.0044994768623491,2686.2040426758317,4565.0390625,107860
7,Kpop,135.99917763157896,1.0,0.7796146273612976,0.2328986078500747,0.1336172372102737,0.0917352959513664,0.0589441731572151,0.0989784598350524,0.7236741781234741,0.511380136013031,0.1636863499879837,0.1996331512928009,0.1754858195781707,-113.28060913085938,63.49980163574219,-61.558929443359375,-5.96300745010376,-5.47682523727417,-15.705909729003906,-3.112010717391968,4.073307991027832,-3.1846232414245605,-7.206456184387207,-19.61666679382324,-16.47877311706543,-4.56922721862793,-11.547658920288086,7.408694267272949,2.6684648990631104,-5.567924976348877,-5.303186416625977,9.329522132873535,1.583006501197815,0.0445937555604823,2581.759525309959,4457.373046875,107860
8,Kpop,135.99917763157896,1.0,0.4778808653354645,0.1080898344516754,0.0616028867661953,0.0561587624251842,0.0348974093794822,0.0887332037091255,0.4797562658786773,0.2693497240543365,0.091970220208168,0.1075317189097404,0.2516048848628998,-40.86148071289063,61.90225982666016,-62.44796752929688,-10.499086380004885,-2.3386716842651367,-16.530841827392578,-1.1323676109313965,8.885473251342773,0.6733537912368774,-6.372831344604492,-21.25960731506348,-17.020648956298828,-3.097764730453491,-10.282678604125977,4.673283576965332,3.292207956314087,-4.821613788604736,-7.780977249145508,8.958624839782715,5.408023834228516,0.0991972363043502,2553.6603507964646,4274.3408203125,107860
9,Kpop,135.99917763157896,1.0,0.2286946773529052,0.0813842192292213,0.0502327941358089,0.0341230556368827,0.0413962565362453,0.3044466972351074,0.3799618780612945,0.1149393692612648,0.0720312446355819,0.1443769931793213,0.931447446346283,-37.08014678955078,64.86967468261719,-52.87112045288086,-14.10378646850586,-4.231817722320557,-26.334980010986328,3.1203067302703857,4.906864643096924,1.5667054653167725,-8.84747314453125,-20.06450653076172,-18.153276443481445,1.2630159854888916,-9.630054473876951,-2.99578857421875,3.562597274780273,-6.826148986816406,-13.30629539489746,7.409994125366211,6.643865585327148,0.112511585221875,2600.617906253633,4500.439453125,107860
