Genre,BeatsPerMinute(Tempo),Chroma STFT 1,Chroma STFT 2,Chroma STFT 3,Chroma STFT 4,Chroma STFT 5,Chroma STFT 6,Chroma STFT 7,Chroma STFT 8,Chroma STFT 9,Chroma STFT 10,Chroma STFT 11,Chroma STFT 12,MFCC 1,MFCC 2,MFCC 3,MFCC 4,MFCC 5,MFCC 6,MFCC 7,MFCC 8,MFCC 9,MFCC 10,MFCC 11,MFCC 12,MFCC 13,MFCC 14,MFCC 15,MFCC 16,MFCC 17,MFCC 18,MFCC 19,MFCC 20,RootMeanSquare,SpectralCentroid,SpectralRolloff,ZeroCrossingRate Sum
Kpop,135.99917763157896,0.523426353931427,0.48172879219055176,0.5792219042778015,0.7189767956733704,0.7806899547576904,1.0,0.9941056966781616,0.7451980710029602,0.5995784401893616,0.6317621469497681,0.5739989280700684,0.5611571669578552,-493.3492736816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.039193991710518e-12,4624.66593232114,9119.3115234375,107860
Kpop,135.99917763157896,1.0,0.9965132474899292,0.7646347284317017,0.5305635929107666,0.36148619651794434,0.2925778329372406,0.3170909583568573,0.2646274268627167,0.29946544766426086,0.38499221205711365,0.46140003204345703,0.6900888681411743,-493.3492736816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3941306672737826e-05,3132.881272544226,7192.08984375,107860
Kpop,135.99917763157896,1.0,0.5924071669578552,0.25847551226615906,0.17730772495269775,0.13641411066055298,0.23642189800739288,0.23066772520542145,0.15070240199565887,0.17470857501029968,0.18442974984645844,0.23663033545017242,0.5552358031272888,-491.2024230957031,2.873276472091675,2.4108285903930664,1.7216500043869019,0.9108231067657471,0.09489428997039795,-0.6205152273178101,-1.1598107814788818,-1.489260196685791,-1.6191704273223877,-1.5962941646575928,-1.4885330200195312,-1.3657174110412598,-1.2811262607574463,-1.2580535411834717,-1.2846016883850098,-1.317760705947876,-1.295833706855774,-1.155982255935669,-0.8528627157211304,0.00014138009403863246,3135.0761570829236,6589.16015625,107860
Kpop,135.99917763157896,0.8381158709526062,0.3081497848033905,0.20043621957302094,0.1707480251789093,0.21710793673992157,0.32933613657951355,0.2781035900115967,0.22775103151798248,0.22062836587429047,0.17366428673267365,0.3259950280189514,1.0,-473.0362243652344,17.258344650268555,5.668323516845703,8.477621078491211,3.4955897331237793,-8.386237144470215,-8.308855056762695,-5.577890396118164,-9.339454650878906,-8.842911720275879,-5.539106845855713,-6.488749027252197,-4.796462059020996,-0.3302408456802368,-0.5072808265686035,-1.2165288925170898,0.14111965894699097,-1.7428982257843018,-3.8371968269348145,-2.5464985370635986,0.0004929271401523906,3197.4317261641463,6481.494140625,107860
Kpop,135.99917763157896,0.5488554239273071,0.16639018058776855,0.20165513455867767,0.17564226686954498,0.21748904883861542,0.21033868193626404,0.20202571153640747,0.17552363872528076,0.16053985059261322,0.17213104665279388,0.287618488073349,1.0,-453.75701904296875,22.375499725341797,-2.6449127197265625,15.783723831176758,2.0882644653320312,-21.329204559326172,-7.3116374015808105,-2.5912327766418457,-13.941866874694824,-7.672552108764648,-2.777519702911377,-7.899470329284668,-5.357643127441406,-1.1810929775238037,-0.6480979919433594,-1.9226585626602173,-5.4893798828125,-2.973564863204956,0.05441974103450775,-5.7420454025268555,0.0008107831039851432,3402.469009173749,6815.2587890625,107860
Kpop,135.99917763157896,0.626816987991333,0.22761105000972748,0.28559353947639465,0.257373571395874,0.2266443520784378,0.21984222531318665,0.4819062352180481,0.54404217004776,0.18038445711135864,0.2467402219772339,0.22394588589668274,1.0,-443.7398376464844,25.525131225585938,-8.317007064819336,14.08944034576416,-2.862596035003662,-27.04244613647461,-2.4360525608062744,6.303013324737549,-11.137277603149414,-8.360843658447266,-2.368575096130371,-8.310629844665527,-8.640698432922363,-4.865093231201172,-1.5425679683685303,-2.2105712890625,-10.00466537475586,-6.141845703125,3.3661041259765625,-5.380544662475586,0.0010774404394093384,3253.7706119402746,6244.62890625,107860
Kpop,135.99917763157896,1.0,0.7642025947570801,0.642690122127533,0.296621710062027,0.12089954316616058,0.08597661554813385,0.23731669783592224,0.9687849283218384,0.7111013531684875,0.2679816484451294,0.2627919316291809,0.2060685008764267,-337.3078918457031,57.86247253417969,-45.674644470214844,11.33787727355957,-10.597794532775879,-30.256975173950195,-5.733442783355713,2.2533700466156006,1.5555834770202637,-10.59046459197998,-18.762035369873047,-11.70370864868164,-5.17996883392334,-10.014901161193848,-5.155120849609375,1.0027740001678467,-9.164837837219238,-4.654358386993408,13.768141746520996,-3.2082033157348633,0.004499476862349118,2686.2040426758313,4565.0390625,107860
Kpop,135.99917763157896,1.0,0.7796146273612976,0.23289860785007477,0.13361723721027374,0.09173529595136642,0.05894417315721512,0.09897845983505249,0.7236741781234741,0.511380136013031,0.1636863499879837,0.1996331512928009,0.17548581957817078,-113.28060913085938,63.49980163574219,-61.558929443359375,-5.96300745010376,-5.47682523727417,-15.705909729003906,-3.1120107173919678,4.073307991027832,-3.1846232414245605,-7.206456184387207,-19.616666793823242,-16.47877311706543,-4.56922721862793,-11.547658920288086,7.408694267272949,2.6684648990631104,-5.567924976348877,-5.303186416625977,9.329522132873535,1.583006501197815,0.0445937555604823,2581.759525309959,4457.373046875,107860
Kpop,135.99917763157896,1.0,0.4778808653354645,0.10808983445167542,0.0616028867661953,0.05615876242518425,0.03489740937948227,0.08873320370912552,0.47975626587867737,0.26934972405433655,0.09197022020816803,0.10753171890974045,0.2516048848628998,-40.861480712890625,61.902259826660156,-62.447967529296875,-10.499086380004883,-2.3386716842651367,-16.530841827392578,-1.1323676109313965,8.885473251342773,0.6733537912368774,-6.372831344604492,-21.259607315063477,-17.020648956298828,-3.097764730453491,-10.282678604125977,4.673283576965332,3.292207956314087,-4.821613788604736,-7.780977249145508,8.958624839782715,5.408023834228516,0.09919723630435026,2553.6603507964646,4274.3408203125,107860
Kpop,135.99917763157896,1.0,0.22869467735290527,0.08138421922922134,0.050232794135808945,0.03412305563688278,0.041396256536245346,0.3044466972351074,0.37996187806129456,0.1149393692612648,0.07203124463558197,0.1443769931793213,0.931447446346283,-37.08014678955078,64.86967468261719,-52.87112045288086,-14.10378646850586,-4.231817722320557,-26.334980010986328,3.1203067302703857,4.906864643096924,1.5667054653167725,-8.84747314453125,-20.06450653076172,-18.153276443481445,1.2630159854888916,-9.630054473876953,-2.99578857421875,3.5625972747802734,-6.826148986816406,-13.306295394897461,7.409994125366211,6.643865585327148,0.11251158522187504,2600.617906253633,4500.439453125,107860
